id,tweet
111,"b'RT @Pankaj_Sharmas: So whoever managed to convince Trump to attend #HowdyModi, is a super intelligent diplomat! \n\nThis event will be on Sep\xe2\x80\xa6'"
112,b'@Cordicon @starknightz @realDonaldTrump When they all loved #Trump'
113,b'Nah fr y\xe2\x80\x99all kill me with that \xe2\x80\x9cI really like you and I wanna be with you \xe2\x80\x9c bs \xf0\x9f\x99\x84 \n#boybye \xf0\x9f\x98\x82\xf0\x9f\x92\x80 #RT #like #ti #trump https://t.co/SeGn5cxk5c'
114,"b'RT @StateOUAll: Hey #CNN, #MSNBC and #DemocraticParty, I thought you said we were going into a #recession? \n\nA few weeks ago all you heard\xe2\x80\xa6'"
115,b'Every decision you make @realDonaldTrump will make your numbers drop.\nAdd this love relationship with Saudia Arabia\xe2\x80\xa6 https://t.co/oBwEB1TBEz'
116,"b'Hey #CNN, #MSNBC and #DemocraticParty, I thought you said we were going into a #recession? \n\nA few weeks ago all yo\xe2\x80\xa6 https://t.co/rx0ikDspG9'"
117,"b'Found it! (They were close enough, so very sadly)\n\n#Trump\n#SaudiOil\nhttps://t.co/edZGpCoSNp'"
118,"b""RT @AnIllicitWriter: Infographics | Trump Casinos: Art of the Reel \xe2\x80\xa2 Guide to Donald Trump's Business Career \n\n#RacistPresident #RacistTrum\xe2\x80\xa6"""
119,"b'RT @i24NEWS_EN: #Trump fully aware that Tehran behind #SaudiAttack, wants #SaudiArabia to acknowledge that before acting, official says\n\nht\xe2\x80\xa6'"
120,"b""RT @EconomicTimes: #Trump to join PM #Modi at 'Howdy, Modi!' event in Houston | https://t.co/uP0bQrbvbU https://t.co/aBc75wjBMk"""
121,b'RT @detachedaz: Join #CloserFamily \xf0\x9f\x92\x9e\xf0\x9f\x92\xafhttps://t.co/ypUDB3AtDG M-F @ MIDNIGHT and Closing Time FRI at 4pm ET\xf0\x9f\x8c\x90NEWS &amp; all things \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #TRUMP \n#Cl\xe2\x80\xa6'
122,"b'RT @mikandynothem: Strangest thing...\xf0\x9f\xa4\x94 Conservative women who support #Trump are beautiful, happy and smiling. Women who hate the President\xe2\x80\xa6'"
123,"b'RT @chrisoldcorn: Green New Deal: Key Principles, Supporters, and Opponents - via @smedian_network\n\n.@Medium #medium #blog #essay #news #po\xe2\x80\xa6'"
124,"b'""I did try to fuck her. She was married."" -Donald Trump #POTUS #DonaldTrump #Trump #TrumpProtest'"
125,"b'RT @DavidJHarrisJr: Proof it\xe2\x80\x99s all about emotion to liberals! I\xe2\x80\x99m not a small guy, and she was afraid of my @realDonaldTrump hat! \n\nAre You\xe2\x80\xa6'"
126,b'RT @AssangeMrs: @Dillon2592 Incorrect! \n\nThere are many #Trump supporters fighting in #TeamAssange! \n\nANYONE can &amp; should condemn &amp; protest\xe2\x80\xa6'
127,"b'RT @tara21478912: #Omar has a lot of nerve talking about anyone\xe2\x80\x99s future legal problems. Campaign fraud, immigration fraud, bigotry. \n\nIlha\xe2\x80\xa6'"
128,"b'RT @AssangeMrs: This ""Q"" nonsense about my son Julian is a psop!\n\nDesigned to deter people from protesting to protect Julian\n\nThe #Trump ad\xe2\x80\xa6'"
129,"b""#Iran says 'no plans' for #Rouhani- #Trump meet on #UN sidelines https://t.co/MMYgdrgTJ0"""
130,"b'RT @SharmaKhemchand: Dear Friends,\n\nLet join hands with #Texas_India_Forum to welcome H.H. President @realDonaldTrump to \xe2\x80\x9cHowdy, Modi! Shar\xe2\x80\xa6'"
131,"b'Trump is seriously, frighteningly unstable \xe2\x80\x93 the world is in danger | Donald #Trump | The Guardian https://t.co/N0t90bmKYJ'"
132,"b'#Trump &amp; #Modi to address 50,000 Indian-Americans at \xe2\x80\x98#HowdyModi\xe2\x80\x99 mega event in Houston\n https://t.co/8DWXGBcFB6'"
133,b'#Rouhani says Iran to end some commitments to nuclear deal #Trump https://t.co/3KQ8qMtIk2'
134,"b""@AJEnglish Attacks on Saudi oil installations and oil tankers seems as another 9/11. #Trump's Eye on Iran. @ABC"""
135,"b""Tulsi Gabbard Calls Out President #Trump For Being 'Locked and Loaded' - Sep 16 @ 3:07 AM ET https://t.co/mRFVM2csHM"""
136,"b""RT @Manny_Funes: Ted Cruz says that  #Trump has broken the Democratic Party' \n\nI disagree. I think \n@tedcruz is wrong \n@realDonaldTrump has\xe2\x80\xa6"""
137,b'RT @BeholdIsrael: The Iranian foreign ministry just issued a statement that there will be no meeting between #Iran\xe2\x80\x99s President #Rouhani and\xe2\x80\xa6'
138,"b'If America Deploys Short Range Nukes On Russias Border, Will Russia Deploy Nukes In Latin America?\xe2\x80\xa6 https://t.co/PFTSkWVQB3'"
139,b'#World in hands of a person #Trump who cant even tolerate #NOAA scientific prediction for #Hurricane coz he drew Al\xe2\x80\xa6 https://t.co/ufjkv92nHF'
140,b'They hate #Trump so much because he knows their #Evil schemes. #Insane #deepstate want to collapse the economy to h\xe2\x80\xa6 https://t.co/s6fGbIibP4'
141,"b'@KHShan True, but #Trump was unlikely to lift sanctions on Iran, as demonizing that country is key to his\xe2\x80\xa6 https://t.co/kAnLX75r0y'"
142,b'RT @zeusFanHouse: Here We Go Again:2020 #Democrats Call For #Impeaching #Kavanaugh After New Allegation Surfaces\n\nLeft renews efforts 2 rem\xe2\x80\xa6'
143,"b""Attacks on Saudi oil installations and oil tankers seems as another 9/11. #Trump's Eye on Iran."""
144,"b""RT @Manny_Funes: Ted Cruz says that  #Trump has broken the Democratic Party' \n\nI disagree. I think \n@tedcruz is wrong \n@realDonaldTrump has\xe2\x80\xa6"""
145,b'RT @triskeleweb: @ishat_reza When he doesn\xe2\x80\x99t want answer he obfuscates and then attacks Trudeau. What is it with #ScheerObfuscation and his\xe2\x80\xa6'
146,"b""RT @naimish9558: After Modi's Invitation, Trump be like\n#HowdyModi \n#trump https://t.co/tSWEVRq1nr"""
147,b'\xe2\x80\x9cTo War to War (\xe2\x80\x98cause I can)\xe2\x80\x9d\nSaid #Trump to leaders of Iran\nHe\xe2\x80\x99ll send youngsters to fight\nTo demo the might\nOf t\xe2\x80\xa6 https://t.co/yejHWCiNtI'
148,b'RT @morphonios: I want to thank #Trump supporters from the bottom of my heart.  I cannot think of a better way you could have protected my\xe2\x80\xa6'
149,"b""RT @crispalomino: #Trump is willing to distract us into possible war. He'll either go too far and drag us into war, or he'll find some way\xe2\x80\xa6"""
150,b'RT @amjoyshow: .@RepMaxineWaters: All six committees that are investigating are going to come up with the reasons why they think #Trump sho\xe2\x80\xa6'
151,b'@ishat_reza When he doesn\xe2\x80\x99t want answer he obfuscates and then attacks Trudeau. What is it with #ScheerObfuscation\xe2\x80\xa6 https://t.co/0gDCQk1reh'
152,"b""RT @AndyOstroy: .@brithume...how do you know it's a smear? Nothing's been investigated yet. In prejudging like this, you are 'smearing' the\xe2\x80\xa6"""
153,b'RT @rahas44: @realDonaldTrump #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\xe2\x9d\x8crestart opposition is being censored heavily by Media\xe2\x9d\x8cThey have been attacking patriotic sounds\xe2\x80\xa6'
154,b'RT @awesomeseminars: Poll: #Trump Approval Dips Among Republicans https://t.co/49JGyTYi4D via @ein_news'
155,b'@renato_mariotti @UROCKlive1 for the same reason #Trump has been using #foreign #agents &amp; #agencies determine\xe2\x80\xa6 https://t.co/ft68r8b2FP'
